month,year,FG3_per_game,FG3A_per_game,FG3_PCT,AST_per_game,PTS_per_game,possessions_per_game_smooth,three_point_introduction,shortened_three_point_line,reverted_three_point_line,defensive_three_second_rule,curry_era,off_season
2003-12-01,2003,5.175925925925926,15.055555555555555,0.34378843788437885,21.775462962962962,93.15046296296296,92.61486101175161,1,0,1,1,0,0
2004-01-01,2004,5.477973568281938,15.561674008810572,0.3520169851380043,21.33920704845815,93.2533039647577,92.53015034900817,1,0,1,1,0,0
2004-02-01,2004,5.122950819672131,14.502732240437158,0.3532403918613414,21.15846994535519,94.69945355191257,92.47577975817926,1,0,1,1,0,0
2004-03-01,2004,5.100446428571429,14.892857142857142,0.3424760191846523,21.238839285714285,94.14508928571429,92.52628307962529,1,0,1,1,0,0
2004-04-01,2004,5.4523809523809526,15.228571428571428,0.35803627267041904,21.504761904761907,94.3047619047619,91.66125015262516,1,0,1,1,0,0
2004-05-01,2004,4.9743589743589745,15.653846153846153,0.3177723177723178,19.153846153846153,86.25641025641026,89.67157753357753,1,0,1,1,0,0
2004-06-01,2004,4.416666666666667,15.416666666666666,0.2864864864864865,18.833333333333332,83.08333333333333,90.12405372405374,1,0,1,1,0,0
2004-07-01,2004,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,1
2004-08-01,2004,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,1
2004-09-01,2004,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,1
2004-10-01,2004,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,1
2004-11-01,2004,5.095238095238095,14.85,0.34311367644700974,20.797619047619047,95.36428571428571,91.54875220458553,1,0,1,1,0,0
2004-12-01,2004,5.4375,15.555555555555555,0.3495535714285714,21.35185185185185,96.50925925925925,93.64303381378095,1,0,1,1,0,0
2005-01-01,2005,5.844827586206897,16.163793103448278,0.3616,21.228448275862068,96.94612068965517,93.68711635346348,1,0,1,1,0,0
2005-02-01,2005,5.791428571428572,15.734285714285715,0.36807699291810425,21.66857142857143,98.67142857142858,93.35200673234812,1,0,1,1,0,0
2005-03-01,2005,5.603448275862069,15.806034482758621,0.35451322607035723,20.853448275862068,97.23275862068965,93.7416645170921,1,0,1,1,0,0
2005-04-01,2005,5.906060606060606,16.515151515151516,0.35761467889908255,22.03939393939394,99.18181818181819,93.53782176126636,1,0,1,1,0,0
2005-05-01,2005,6.170212765957447,17.54255319148936,0.35172832019405703,18.72340425531915,99.23404255319149,91.13471308833012,1,0,1,1,0,0
2005-06-01,2005,4.818181818181818,14.272727272727273,0.3375796178343949,17.59090909090909,85.81818181818181,90.97972431167467,1,0,1,1,0,0
2005-07-01,2005,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,1
2005-08-01,2005,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,1
2005-09-01,2005,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,1
2005-10-01,2005,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,1
2005-11-01,2005,5.340277777777778,15.342592592592593,0.34806879903439947,20.10185185185185,95.29861111111111,90.92455806793727,1,0,1,1,0,0
2005-12-01,2005,5.493119266055046,15.36697247706422,0.3574626865671642,20.44724770642202,97.04128440366972,93.30632819208626,1,0,1,1,0,0
2006-01-01,2006,5.8039647577092515,16.07488986784141,0.3610578240613867,20.486784140969164,97.53083700440529,93.09323392839347,1,0,1,1,0,0
2006-02-01,2006,5.538674033149171,15.69889502762431,0.3528066162238254,20.671270718232044,96.23204419889503,92.97178158816644,1,0,1,1,0,0
2006-03-01,2006,6.122881355932203,16.58686440677966,0.3691403755268872,21.322033898305083,98.41101694915254,93.01275867294886,1,0,1,1,0,0
2006-04-01,2006,6.098684210526316,17.023026315789473,0.3582608695652174,20.605263157894736,97.35855263157895,92.51023565269104,1,0,1,1,0,0
2006-05-01,2006,6.0,16.89,0.3552397868561279,18.36,99.13,92.37079434697854,1,0,1,1,0,0
2006-06-01,2006,5.833333333333333,18.666666666666668,0.31249999999999994,16.944444444444443,94.11111111111111,93.88925925925928,1,0,1,1,0,0
2006-07-01,2006,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,1
2006-08-01,2006,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,1
2006-09-01,2006,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,1
2006-10-01,2006,7.25,18.0,0.4027777777777778,23.5,98.5,95.03539802245685,1,0,1,1,0,0
2006-11-01,2006,5.714932126696833,16.690045248868778,0.34241561610410737,20.257918552036198,97.82126696832579,95.88795564445654,1,0,1,1,0,0
2006-12-01,2006,5.866952789699571,16.598712446351932,0.35345830639948284,21.34549356223176,98.89914163090128,94.8059088608308,1,0,1,1,0,0
2007-01-01,2007,6.25219298245614,17.25657894736842,0.36230779006226965,21.49342105263158,99.35964912280701,94.6708501721211,1,0,1,1,0,0
2007-02-01,2007,6.243016759776537,16.94413407821229,0.3684470820969338,21.393854748603353,98.74581005586592,94.43723956888907,1,0,1,1,0,0
